country1	country2	f_commuting
Austria	Belgium	0
Austria	Bulgaria	0
Austria	Croatia	1.635144710306862e-4
Austria	Czechia	3.1732599957689866e-4
Austria	Denmark	0
Austria	Estonia	0
Austria	Finland	0
Austria	France	0
Austria	Germany	4.147472263779236e-4
Austria	Hungary	0.0019462677453823843
Austria	Ireland	0
Austria	Italy	2.283626398721169e-5
Austria	Latvia	0
Austria	Lithuania	0
Austria	Luxembourg	0
Austria	Malta	0
Austria	Netherlands	0
Austria	Norway	0
Austria	Poland	1.4060083423161643e-4
Austria	Portugal	0
Austria	Romania	0
Austria	Slovakia	0.0023893720730192108
Austria	Slovenia	6.984126984126984e-4
Austria	Spain	0
Austria	Sweden	0
Austria	Switzerland	4.1763164888568283e-4
Austria	United Kingdom	0
Belgium	Bulgaria	0
Belgium	Croatia	0
Belgium	Czechia	0
Belgium	Denmark	0
Belgium	Estonia	0
Belgium	Finland	0
Belgium	France	5.227391531625719e-4
Belgium	Germany	6.571645540043227e-5
Belgium	Hungary	0
Belgium	Ireland	0
Belgium	Italy	0
Belgium	Latvia	0
Belgium	Lithuania	0
Belgium	Luxembourg	0.0027039206849932404
Belgium	Malta	0
Belgium	Netherlands	0.0011421760937577593
Belgium	Norway	0
Belgium	Poland	0
Belgium	Portugal	0
Belgium	Romania	0
Belgium	Slovakia	1.312565628281414e-4
Belgium	Slovenia	0
Belgium	Spain	0
Belgium	Sweden	0
Belgium	Switzerland	0
Belgium	United Kingdom	0
Bulgaria	Czechia	0
Bulgaria	Denmark	0
Bulgaria	Finland	0
Bulgaria	France	0
Bulgaria	Germany	9.08781097353175e-5
Bulgaria	Hungary	0
Bulgaria	Ireland	0
Bulgaria	Italy	0
Bulgaria	Luxembourg	0
Bulgaria	Netherlands	0
Bulgaria	Norway	0
Bulgaria	Portugal	0
Bulgaria	Slovakia	0
Bulgaria	Spain	0
Bulgaria	Sweden	0
Bulgaria	Switzerland	0
Bulgaria	United Kingdom	3.857764232738916e-5
Croatia	Czechia	0
Croatia	Denmark	0
Croatia	Finland	0
Croatia	France	1.1072112669818528e-5
Croatia	Germany	9.390185690922037e-5
Croatia	Hungary	0
Croatia	Ireland	0
Croatia	Italy	3.733618747744272e-5
Croatia	Luxembourg	0
Croatia	Netherlands	3.213883978788366e-5
Croatia	Norway	0
Croatia	Portugal	0
Croatia	Slovakia	0
Croatia	Spain	0
Croatia	Sweden	0
Croatia	Switzerland	0
Croatia	United Kingdom	0
Czechia	Denmark	0
Czechia	Estonia	0
Czechia	Finland	0
Czechia	France	3.488418450743531e-4
Czechia	Germany	2.2495065598513873e-4
Czechia	Hungary	0
Czechia	Ireland	0
Czechia	Italy	0
Czechia	Latvia	0
Czechia	Lithuania	0
Czechia	Luxembourg	0
Czechia	Malta	0
Czechia	Netherlands	2.4313153415998054e-5
Czechia	Norway	0
Czechia	Poland	1.3473658996661527e-4
Czechia	Portugal	0
Czechia	Romania	0
Czechia	Slovakia	0.001771255060728745
Czechia	Slovenia	0
Czechia	Spain	0
Czechia	Sweden	0
Czechia	Switzerland	3.433476394849785e-5
Czechia	United Kingdom	2.7409776153494748e-5
Denmark	Estonia	0
Denmark	Finland	0
Denmark	France	7.514196464033836e-5
Denmark	Germany	6.889530210589973e-5
Denmark	Hungary	0
Denmark	Ireland	0
Denmark	Italy	0
Denmark	Latvia	0
Denmark	Lithuania	0
Denmark	Luxembourg	0
Denmark	Malta	0
Denmark	Netherlands	0
Denmark	Norway	0
Denmark	Poland	0
Denmark	Portugal	0
Denmark	Romania	0
Denmark	Slovakia	0
Denmark	Slovenia	0
Denmark	Spain	0
Denmark	Sweden	6.851954948396214e-4
Denmark	Switzerland	0
Denmark	United Kingdom	0
Estonia	Finland	0.001440329218106996
Estonia	France	0
Estonia	Germany	0
Estonia	Hungary	0
Estonia	Ireland	0
Estonia	Italy	0
Estonia	Luxembourg	0
Estonia	Netherlands	0
Estonia	Norway	2.037282265457879e-4
Estonia	Portugal	0
Estonia	Slovakia	0
Estonia	Spain	0
Estonia	Sweden	0
Estonia	Switzerland	0
Estonia	United Kingdom	0
Finland	France	0
Finland	Germany	0
Finland	Hungary	0
Finland	Ireland	0
Finland	Italy	0
Finland	Latvia	0
Finland	Lithuania	0
Finland	Luxembourg	0
Finland	Malta	0
Finland	Netherlands	0
Finland	Poland	0
Finland	Portugal	0
Finland	Romania	0
Finland	Slovakia	0
Finland	Slovenia	0
Finland	Spain	0
Finland	Sweden	0
Finland	Switzerland	0
Finland	United Kingdom	0
France	Germany	3.38177320862642e-5
France	Hungary	0
France	Ireland	0
France	Italy	4.3873393920401125e-5
France	Latvia	0
France	Lithuania	0
France	Luxembourg	0.0010400476785902095
France	Malta	0
France	Netherlands	0
France	Norway	0
France	Poland	0
France	Portugal	5.0227026158235224e-5
France	Romania	0
France	Slovakia	4.305890458146745e-5
France	Slovenia	0
France	Spain	3.926624477268116e-5
France	Sweden	0
France	Switzerland	0.002217497889308202
France	United Kingdom	3.918626913129639e-5
Germany	Hungary	2.506450423884998e-4
Germany	Ireland	0
Germany	Italy	3.552830590886482e-5
Germany	Latvia	0
Germany	Lithuania	0
Germany	Luxembourg	3.819616575510569e-4
Germany	Malta	0
Germany	Netherlands	3.992151025103187e-4
Germany	Norway	0
Germany	Poland	5.822768755368766e-4
Germany	Portugal	0
Germany	Romania	2.219711033981758e-4
Germany	Slovakia	2.1477004264719419e-4
Germany	Slovenia	7.987475638199303e-6
Germany	Spain	1.5766322084938433e-5
Germany	Sweden	0
Germany	Switzerland	6.333541996538645e-4
Germany	United Kingdom	2.7763638887603535e-5
Hungary	Ireland	0
Hungary	Italy	0
Hungary	Latvia	0
Hungary	Lithuania	0
Hungary	Luxembourg	0
Hungary	Malta	0
Hungary	Netherlands	0
Hungary	Norway	0
Hungary	Poland	0
Hungary	Portugal	0
Hungary	Romania	0
Hungary	Slovakia	4.175559060963162e-4
